starttime	seconds	ctime	dtime	ttime	wait
Fri May 13 16:46:30 2016	1463179590	44	1	46	1
Fri May 13 16:46:32 2016	1463179592	45	2	46	2
Fri May 13 16:46:29 2016	1463179589	46	1	47	1
Fri May 13 16:46:31 2016	1463179591	45	1	47	1
Fri May 13 16:46:28 2016	1463179588	46	1	47	1
Fri May 13 16:46:30 2016	1463179590	46	1	47	1
Fri May 13 16:46:32 2016	1463179592	46	2	47	1
Fri May 13 16:46:31 2016	1463179591	46	1	47	1
Fri May 13 16:46:29 2016	1463179589	46	1	47	1
Fri May 13 16:46:31 2016	1463179591	46	1	47	1
Fri May 13 16:46:29 2016	1463179589	46	1	47	1
Fri May 13 16:46:32 2016	1463179592	46	1	47	1
Fri May 13 16:46:28 2016	1463179588	46	1	47	1
Fri May 13 16:46:31 2016	1463179591	46	1	47	1
Fri May 13 16:46:29 2016	1463179589	46	2	47	1
Fri May 13 16:46:27 2016	1463179587	46	1	47	1
Fri May 13 16:46:32 2016	1463179592	46	2	47	2
Fri May 13 16:46:29 2016	1463179589	46	1	47	1
Fri May 13 16:46:28 2016	1463179588	47	1	47	1
Fri May 13 16:46:29 2016	1463179589	46	1	47	1
Fri May 13 16:46:30 2016	1463179590	46	1	48	1
Fri May 13 16:46:30 2016	1463179590	46	1	48	1
Fri May 13 16:46:32 2016	1463179592	46	2	48	2
Fri May 13 16:46:32 2016	1463179592	47	1	48	1
Fri May 13 16:46:28 2016	1463179588	46	1	48	1
Fri May 13 16:46:28 2016	1463179588	46	1	48	1
Fri May 13 16:46:32 2016	1463179592	46	2	48	2
Fri May 13 16:46:29 2016	1463179589	46	2	48	2
Fri May 13 16:46:29 2016	1463179589	47	1	48	1
Fri May 13 16:46:32 2016	1463179592	46	1	48	1
Fri May 13 16:46:30 2016	1463179590	46	2	48	2
Fri May 13 16:46:32 2016	1463179592	47	1	48	1
Fri May 13 16:46:26 2016	1463179586	47	1	48	1
Fri May 13 16:46:29 2016	1463179589	47	1	48	1
Fri May 13 16:46:27 2016	1463179587	47	1	48	1
Fri May 13 16:46:30 2016	1463179590	47	1	48	1
Fri May 13 16:46:32 2016	1463179592	47	1	48	1
Fri May 13 16:46:28 2016	1463179588	47	1	48	1
Fri May 13 16:46:28 2016	1463179588	47	1	48	1
Fri May 13 16:46:31 2016	1463179591	47	1	48	1
Fri May 13 16:46:29 2016	1463179589	47	1	48	1
Fri May 13 16:46:30 2016	1463179590	47	1	48	1
Fri May 13 16:46:30 2016	1463179590	47	1	48	1
Fri May 13 16:46:29 2016	1463179589	47	1	48	1
Fri May 13 16:46:31 2016	1463179591	47	1	48	1
Fri May 13 16:46:27 2016	1463179587	47	1	48	1
Fri May 13 16:46:32 2016	1463179592	47	2	48	2
Fri May 13 16:46:29 2016	1463179589	47	1	48	1
Fri May 13 16:46:30 2016	1463179590	47	1	48	1
Fri May 13 16:46:29 2016	1463179589	47	1	48	1
Fri May 13 16:46:30 2016	1463179590	47	1	48	1
Fri May 13 16:46:30 2016	1463179590	47	1	48	1
Fri May 13 16:46:30 2016	1463179590	47	1	48	1
Fri May 13 16:46:27 2016	1463179587	46	2	48	2
Fri May 13 16:46:29 2016	1463179589	47	1	48	1
Fri May 13 16:46:30 2016	1463179590	47	1	48	1
Fri May 13 16:46:31 2016	1463179591	47	1	48	1
Fri May 13 16:46:32 2016	1463179592	47	1	48	1
Fri May 13 16:46:28 2016	1463179588	47	1	48	1
Fri May 13 16:46:28 2016	1463179588	47	1	48	1
Fri May 13 16:46:27 2016	1463179587	47	1	48	1
Fri May 13 16:46:31 2016	1463179591	47	2	48	2
Fri May 13 16:46:31 2016	1463179591	47	2	48	2
Fri May 13 16:46:30 2016	1463179590	48	1	48	1
Fri May 13 16:46:30 2016	1463179590	47	1	48	1
Fri May 13 16:46:28 2016	1463179588	47	1	48	1
Fri May 13 16:46:32 2016	1463179592	47	1	48	1
Fri May 13 16:46:29 2016	1463179589	47	1	48	1
Fri May 13 16:46:28 2016	1463179588	48	1	48	1
Fri May 13 16:46:29 2016	1463179589	47	1	48	1
Fri May 13 16:46:31 2016	1463179591	47	1	48	1
Fri May 13 16:46:29 2016	1463179589	47	2	48	2
Fri May 13 16:46:29 2016	1463179589	47	2	48	2
Fri May 13 16:46:32 2016	1463179592	47	2	48	2
Fri May 13 16:46:30 2016	1463179590	47	2	49	2
Fri May 13 16:46:29 2016	1463179589	47	1	49	1
Fri May 13 16:46:30 2016	1463179590	47	1	49	1
Fri May 13 16:46:30 2016	1463179590	47	2	49	2
Fri May 13 16:46:30 2016	1463179590	47	1	49	1
Fri May 13 16:46:29 2016	1463179589	47	1	49	1
Fri May 13 16:46:31 2016	1463179591	47	1	49	1
Fri May 13 16:46:28 2016	1463179588	47	1	49	1
Fri May 13 16:46:28 2016	1463179588	47	1	49	1
Fri May 13 16:46:29 2016	1463179589	47	1	49	1
Fri May 13 16:46:29 2016	1463179589	47	1	49	1
Fri May 13 16:46:29 2016	1463179589	47	1	49	1
Fri May 13 16:46:27 2016	1463179587	47	1	49	1
Fri May 13 16:46:31 2016	1463179591	47	1	49	1
Fri May 13 16:46:32 2016	1463179592	48	1	49	1
Fri May 13 16:46:29 2016	1463179589	47	1	49	1
Fri May 13 16:46:28 2016	1463179588	47	1	49	1
Fri May 13 16:46:30 2016	1463179590	47	1	49	1
Fri May 13 16:46:32 2016	1463179592	46	3	49	3
Fri May 13 16:46:31 2016	1463179591	47	2	49	2
Fri May 13 16:46:30 2016	1463179590	47	2	49	2
Fri May 13 16:46:31 2016	1463179591	47	1	49	1
Fri May 13 16:46:30 2016	1463179590	48	1	49	1
Fri May 13 16:46:32 2016	1463179592	48	1	49	1
Fri May 13 16:46:29 2016	1463179589	47	1	49	1
Fri May 13 16:46:27 2016	1463179587	47	1	49	1
Fri May 13 16:46:27 2016	1463179587	47	1	49	1
Fri May 13 16:46:29 2016	1463179589	47	2	49	2
Fri May 13 16:46:28 2016	1463179588	48	1	49	1
Fri May 13 16:46:31 2016	1463179591	48	1	49	1
Fri May 13 16:46:26 2016	1463179586	47	2	49	2
Fri May 13 16:46:30 2016	1463179590	47	1	49	1
Fri May 13 16:46:29 2016	1463179589	47	2	49	2
Fri May 13 16:46:29 2016	1463179589	47	2	49	2
Fri May 13 16:46:29 2016	1463179589	47	1	49	1
Fri May 13 16:46:30 2016	1463179590	47	1	49	1
Fri May 13 16:46:32 2016	1463179592	48	1	49	1
Fri May 13 16:46:26 2016	1463179586	48	1	49	1
Fri May 13 16:46:31 2016	1463179591	48	1	49	1
Fri May 13 16:46:30 2016	1463179590	47	1	49	1
Fri May 13 16:46:32 2016	1463179592	48	1	49	1
Fri May 13 16:46:31 2016	1463179591	48	1	49	1
Fri May 13 16:46:26 2016	1463179586	48	1	49	1
Fri May 13 16:46:31 2016	1463179591	46	3	49	2
Fri May 13 16:46:29 2016	1463179589	47	2	49	2
Fri May 13 16:46:32 2016	1463179592	48	1	49	1
Fri May 13 16:46:29 2016	1463179589	47	2	49	1
Fri May 13 16:46:28 2016	1463179588	47	2	49	2
Fri May 13 16:46:31 2016	1463179591	46	3	49	3
Fri May 13 16:46:30 2016	1463179590	47	2	49	1
Fri May 13 16:46:28 2016	1463179588	48	1	49	1
Fri May 13 16:46:31 2016	1463179591	48	1	49	1
