starttime	seconds	ctime	dtime	ttime	wait
Fri May 13 16:45:59 2016	1463179559	11	5	16	2
Fri May 13 16:45:59 2016	1463179559	14	3	17	1
Fri May 13 16:45:59 2016	1463179559	9	8	18	4
Fri May 13 16:45:59 2016	1463179559	11	6	18	2
Fri May 13 16:45:59 2016	1463179559	9	9	18	4
Fri May 13 16:45:59 2016	1463179559	15	3	18	1
Fri May 13 16:45:59 2016	1463179559	16	2	18	1
Fri May 13 16:45:59 2016	1463179559	15	4	19	2
Fri May 13 16:45:59 2016	1463179559	10	9	19	4
Fri May 13 16:45:59 2016	1463179559	15	4	19	3
Fri May 13 16:45:59 2016	1463179559	17	3	19	1
Fri May 13 16:45:59 2016	1463179559	17	2	19	1
Fri May 13 16:45:59 2016	1463179559	13	6	19	3
Fri May 13 16:45:59 2016	1463179559	17	3	20	2
Fri May 13 16:45:59 2016	1463179559	17	4	20	1
Fri May 13 16:45:59 2016	1463179559	11	9	20	4
Fri May 13 16:45:59 2016	1463179559	13	7	21	7
Fri May 13 16:45:59 2016	1463179559	15	6	21	4
Fri May 13 16:45:59 2016	1463179559	17	4	21	2
Fri May 13 16:45:59 2016	1463179559	13	8	21	3
Fri May 13 16:45:59 2016	1463179559	13	8	21	3
Fri May 13 16:45:59 2016	1463179559	14	7	21	4
Fri May 13 16:45:59 2016	1463179559	12	10	21	5
Fri May 13 16:45:59 2016	1463179559	15	7	21	4
Fri May 13 16:45:59 2016	1463179559	17	4	21	2
Fri May 13 16:45:59 2016	1463179559	15	7	21	4
Fri May 13 16:45:59 2016	1463179559	17	4	21	2
Fri May 13 16:45:59 2016	1463179559	11	10	22	4
Fri May 13 16:45:59 2016	1463179559	19	3	22	1
Fri May 13 16:45:59 2016	1463179559	12	10	22	5
Fri May 13 16:45:59 2016	1463179559	19	3	22	2
Fri May 13 16:45:59 2016	1463179559	12	11	22	5
Fri May 13 16:45:59 2016	1463179559	19	3	22	1
Fri May 13 16:45:59 2016	1463179559	14	8	23	4
Fri May 13 16:45:59 2016	1463179559	19	3	23	1
Fri May 13 16:45:59 2016	1463179559	20	2	23	1
Fri May 13 16:45:59 2016	1463179559	15	7	23	3
Fri May 13 16:45:59 2016	1463179559	14	8	23	3
Fri May 13 16:45:59 2016	1463179559	17	6	23	3
Fri May 13 16:45:59 2016	1463179559	18	5	23	3
Fri May 13 16:45:59 2016	1463179559	10	13	23	5
Fri May 13 16:45:59 2016	1463179559	15	8	23	3
Fri May 13 16:45:59 2016	1463179559	18	5	23	3
Fri May 13 16:45:59 2016	1463179559	18	5	23	2
Fri May 13 16:45:59 2016	1463179559	17	7	23	3
Fri May 13 16:45:59 2016	1463179559	19	4	23	1
Fri May 13 16:45:59 2016	1463179559	19	4	23	1
Fri May 13 16:45:59 2016	1463179559	21	3	24	2
Fri May 13 16:45:59 2016	1463179559	21	3	24	2
Fri May 13 16:45:59 2016	1463179559	19	4	24	1
Fri May 13 16:45:59 2016	1463179559	15	9	24	5
Fri May 13 16:45:59 2016	1463179559	20	4	24	2
Fri May 13 16:45:59 2016	1463179559	19	5	24	4
Fri May 13 16:45:59 2016	1463179559	14	10	24	5
Fri May 13 16:45:59 2016	1463179559	15	9	24	5
Fri May 13 16:45:59 2016	1463179559	12	12	24	6
Fri May 13 16:45:59 2016	1463179559	19	5	24	4
Fri May 13 16:45:59 2016	1463179559	18	6	24	3
Fri May 13 16:45:59 2016	1463179559	19	5	24	3
Fri May 13 16:45:59 2016	1463179559	20	4	24	3
Fri May 13 16:45:59 2016	1463179559	19	5	24	4
Fri May 13 16:45:59 2016	1463179559	20	4	24	2
Fri May 13 16:45:59 2016	1463179559	19	6	24	3
Fri May 13 16:45:59 2016	1463179559	14	11	24	6
Fri May 13 16:45:59 2016	1463179559	20	4	24	2
Fri May 13 16:45:59 2016	1463179559	15	9	24	5
Fri May 13 16:45:59 2016	1463179559	15	9	24	6
Fri May 13 16:45:59 2016	1463179559	15	9	24	6
Fri May 13 16:45:59 2016	1463179559	15	10	25	8
Fri May 13 16:45:59 2016	1463179559	15	10	25	8
Fri May 13 16:45:59 2016	1463179559	22	3	25	2
Fri May 13 16:45:59 2016	1463179559	22	3	25	2
Fri May 13 16:45:59 2016	1463179559	14	11	25	8
Fri May 13 16:45:59 2016	1463179559	19	6	25	1
Fri May 13 16:45:59 2016	1463179559	14	11	25	11
Fri May 13 16:45:59 2016	1463179559	16	9	25	4
Fri May 13 16:45:59 2016	1463179559	16	9	25	5
Fri May 13 16:45:59 2016	1463179559	16	10	25	5
Fri May 13 16:45:59 2016	1463179559	18	7	25	4
Fri May 13 16:45:59 2016	1463179559	23	2	25	2
Fri May 13 16:45:59 2016	1463179559	14	12	25	4
Fri May 13 16:45:59 2016	1463179559	17	9	25	4
Fri May 13 16:45:59 2016	1463179559	20	5	25	3
Fri May 13 16:45:59 2016	1463179559	15	10	26	7
Fri May 13 16:45:59 2016	1463179559	15	10	26	7
Fri May 13 16:45:59 2016	1463179559	14	12	26	6
Fri May 13 16:45:59 2016	1463179559	23	3	26	2
Fri May 13 16:45:59 2016	1463179559	14	12	26	6
Fri May 13 16:45:59 2016	1463179559	18	8	26	2
Fri May 13 16:45:59 2016	1463179559	20	6	26	4
Fri May 13 16:45:59 2016	1463179559	16	10	26	5
Fri May 13 16:45:59 2016	1463179559	19	7	26	2
Fri May 13 16:45:59 2016	1463179559	19	7	26	2
Fri May 13 16:45:58 2016	1463179558	24	2	26	2
Fri May 13 16:45:59 2016	1463179559	20	7	27	1
Fri May 13 16:45:59 2016	1463179559	23	4	27	1
Fri May 13 16:45:58 2016	1463179558	25	2	27	2
Fri May 13 16:45:59 2016	1463179559	24	3	27	2
Fri May 13 16:45:59 2016	1463179559	21	6	27	3
Fri May 13 16:45:59 2016	1463179559	22	5	27	4
Fri May 13 16:45:59 2016	1463179559	23	4	27	1
